gene,target,NDE,NDE_p,NIE,NIE_p,prop_med
SPINK4,ISK4,17.303736873016263,0.0010373174904385783,-0.1947853635309867,0.4614202694935247,-0.01138499711235939
CADM1,Nectin-like protein 2,18.555189071187495,3.987108931299748e-4,-0.5214230487869025,0.46677883340471626,-0.028913708214868616
ATP4B,ATP4B,16.962135484254905,0.0013693265859803466,0.23167061856475693,0.4699903545945412,0.0134740741624837
IFNW1,IFN-w,16.523564708588594,0.0015850253209904418,0.594986864030213,0.4728685370064168,0.03475684619146733
AQP4,AQP4,17.677194738123692,8.96356781271141e-4,-0.40869189952518986,0.47775841455444146,-0.023666898245033905
FGF23,FGF23,15.771194402658384,0.00305285336724689,0.41128995047658223,0.4785431027375399,0.02541574837963027
GNPTG,GNPTG,17.83634484072158,6.447982272129705e-4,-0.46617453324018154,0.4794760517568685,-0.026837648968784055
NDRG1,NDRG1,17.457497092044765,9.463955788711433e-4,-0.2595459084122088,0.48255265243461387,-0.015091676074718773
CACNA2D3,CA2D3,17.020119491741056,0.0011751080388505703,0.37519715070793996,0.4837255816938145,0.02156886007998058
TNFRSF10B,TRAIL R2,17.615917520319194,0.0010765959646531174,-0.344414600611826,0.4942222114676027,-0.01994120617140025
CALCOCO2,CACO2,16.58207936903741,0.001732696611483061,0.38143027569364923,0.49686544751943157,0.0224853396308896
NUP98,NUP98,16.988974574766427,0.0013285664848603994,0.3372405026605249,0.4985816466406642,0.019464176171972533
CSGALNACT2,CGAT2,16.993210147391352,0.0013335055892325172,0.12776818315753022,0.5002530947301753,0.007462668352868249
NXT2,NXT2,17.102495801370402,0.001261340614615698,0.16456369552442374,0.50890490804286,0.00953049913067234
WNT3A,WNT3A,16.876716085329445,0.0014114861447065772,0.18684677171468497,0.5137825583260789,0.01095004444734421
KLRC3,NKG2E,17.454722426581437,8.878528619887182e-4,-0.3290123504483332,0.5161367953156486,-0.01921160343049685
RGMA,RGMA,17.289293510653945,0.0012582924302312196,0.36706138047036707,0.5308507520321941,0.02078919362086936
HERC4,HERC4,17.152561129370685,0.00106728241538698,-0.21692004686266206,0.5393153719257673,-0.012808493390114882
SMYD2,SMYD2,17.03650141355063,0.0017290631394600543,-0.2990491159281499,0.542355044744421,-0.017867063075700546
TCEAL8,TCAL8,16.289295357048093,0.002371276943019342,0.24869559582348813,0.5452687980723254,0.015037836006332182
CNTN1,contactin-1,17.40614415667977,0.0010114111461646557,-0.1856193155930914,0.5501156190581925,-0.010778958092509457
PDGFC,PDGF-CC,17.343890435641534,9.622150394643583e-4,-0.1381252359091889,0.5548215396050713,-0.008027846149576516
GPR56,GPR56,17.452134861349496,9.785627427657915e-4,-0.23604087424039763,0.557689270353358,-0.013710477789975941
KIR2DS4,KI2S4,16.954909056195866,0.0013789606453773011,0.1239752672266966,0.5604974463755588,0.007258979268140642
VAMP4,VAMP4,16.698862146386023,0.0017726032492766687,0.1556929535340284,0.5617083767408915,0.009237440716235038
C16orf54,CP054,17.19849886136359,0.0010789403373758367,-0.2156149902671647,0.5623712556869482,-0.012696017466981862
MMP16,MMP-16,17.699726138611453,7.190260029574324e-4,-0.3696240059176391,0.563473592744855,-0.021328437829591963
C3,C3a,17.389006151743335,9.84196490748127e-4,-0.2014312557451805,0.5640755240998155,-0.011719585628806801
NEGR1,NEGR1,17.068908715560383,0.001241749535959107,0.28830875694041364,0.5701654797465411,0.016610309653444393
HNRNPR,HNRPR,16.885911050918015,0.0013554220981110508,0.24827895330775604,0.5708656252224178,0.014490264975847909
ATG7,ATG7,17.209219749708875,0.0011136082410582186,-0.19514804409333267,0.5756548911203239,-0.011469802612206195
FOXRED1,FXRD1,17.005595705714438,0.001249824009245271,0.11121718836753477,0.5785898307024964,0.00649754069614136
IL17RA,IL-17 sR,17.333341670808974,0.0010275334552082899,-0.1034897192431323,0.5798695779517856,-0.00600641952896915
MOG,MOG,16.891981029542556,0.0012254857969024335,-0.26588667402669847,0.5846861793721695,-0.015992130703774584
STK17B,DRAK2,17.288748384443785,0.0010479928530564252,-0.16705515003866886,0.5871371600204223,-0.009756929279808644
GMNN,GEMI,17.92993172325659,7.192467668230724e-4,-0.2667398145283392,0.5884603223997696,-0.015101450287506075
SYT9,SYT9,17.43484269455402,9.398373381568245e-4,-0.23540037902065408,0.6036711694025516,-0.01368651231255658
ATP2A3,AT2A3,17.2477781305013,0.0010798210309330906,-0.16088625540829876,0.6041028790214924,-0.009415770672887406
TNFRSF10D,TRAIL R4,16.814543003135835,0.0016365882983418293,0.20660042196544198,0.6115434136372085,0.012137869754435296
EFHA2,EFHA2,16.943086726733767,0.0014345705832266406,-0.14813545077942072,0.642086810987083,-0.008820237007267124
GSTT2B,GSTT2,16.920651140611056,0.0013401574675672324,0.09727066208554949,0.6504350948086479,0.005715777943587465
UGT1A1,UGT 1A1,17.20630692554302,0.0010969475074813725,-0.10064606887206787,0.651308049836544,-0.00588378722782975
TSLP,TSLP,17.698677631776388,8.360170780363318e-4,-0.21460153644630645,0.6529626318859746,-0.012274113614938199
SSU72,SSU72,17.246004592332763,0.001108342918107029,-0.12284843692492878,0.6529714649965825,-0.007174403819597872
IGFBPL1,IBPL1,16.86714733258198,0.001316203485049102,0.0738936831239965,0.6602051839771564,0.004361814781954069
DEFB4A,HBD-2,16.621775746710078,0.0018096769567230119,0.3015422918208487,0.661080195546015,0.01781815428477434
MYBPC1,MYPC1,16.876386351064077,0.0014840093157758606,0.24930227160533502,0.6631623148155185,0.014557211514130393
WNT7A,WNT7A,17.21223741330622,9.546606785978257e-4,-0.23981499729722633,0.6639659598317059,-0.014129685876249715
NCAM1,NCAM-120,16.044312386678982,0.007776877140680644,0.6250798556907089,0.6662989368425428,0.03749865901540803
YIPF6,YIPF6,17.598437299871538,0.0010182915779312829,-0.13932738248440996,0.6743665411069967,-0.007980211084280821
SNAI2,SLUG,16.18434908112201,0.002248246739286762,0.18015991502082973,0.6758381803598446,0.011009185491803873
TLR4,TLR4,16.61655378703491,0.0019542501221976156,0.15956347024713735,0.6785889464163304,0.009511346862926538
PRSS57,PRS57,16.934329115239656,0.001679148654541881,0.2403102926089913,0.703346695736535,0.013992159421942318
THTPA,THTPA,16.74717482846633,0.0014466366545937586,0.21154880566178125,0.7036644092985447,0.012474335346562032
PGLYRP2,PGRP-L,17.055609478173867,0.001233524414848167,0.06926068764819288,0.7056795361364755,0.004044450379917266
EIF1AX,IF1AX,17.611522943561603,9.914341797704262e-4,-0.14469027544107207,0.7161094016805023,-0.008283715667875637
RPS3,RS3,17.24098932186356,0.0011285875016171841,-0.0824074910980819,0.7280975303277373,-0.004802698259731734
ACBD7,ACBD7,17.05934160840756,0.0012615266010142607,0.08694702519962472,0.7316518833727009,0.005070894760817581
FSTL5,FSTL5,16.909275083023758,0.0015757912263048596,0.09068668040955534,0.7419519305948432,0.0053345226107873464
NAGS,NAGS,17.18182095180664,0.0011378747416748468,-0.14678644136399382,0.7500098184917425,-0.00861673871420761
FRZB,sFRP-3,17.690710144844736,0.0015728709756746664,-0.290134764410427,0.7521042460862785,-0.016673860379160948
C1QTNF9,C1T9A,17.24353893730436,0.0011771304388496122,-0.08841942397763776,0.7557374342801131,-0.00515411296953952
FAM171B,F171B,16.733325356852777,0.00148830832705906,0.10561948767205831,0.760707140450643,0.006272334083118063
PAF,PAF,17.07102311343142,0.0012368435158660986,0.05596953850180864,0.7607263097143004,0.0032679139671079977
CYTH2,CYH2,17.209814470503193,0.001091396388376407,-0.0727013343456594,0.7623094297178937,-0.0042423326360766745
ITGB6,ITB6,17.33040498521166,0.0010092857050215975,-0.07963224707092266,0.7655542968444164,-0.004616155361832522
SHBG,SHBG,17.123176561480104,0.0013095425738761234,0.08641237272784706,0.7868183030663563,0.005021175872253574
SCARB2,LIMP II,17.16776416525896,0.0012024059380273538,0.038341971065823106,0.7953694357378396,0.0022283932670203173
BMP15,BMP15,17.31164353755478,9.70229232782969e-4,-0.1379175932598553,0.7968063575568577,-0.00803073216069756
SULF2,SULF2,16.944569483438386,0.0012746745287848373,0.16090193701211836,0.7987496829141969,0.009406460252229677
SPACA5,sperm acrosome associated 5,17.154938818481455,0.0011662163667639845,-0.023545804813639475,0.8102892268896982,-0.0013744244145735315
ZNF23,ZNF23,17.03605100286838,0.001483815406493755,0.04540928085900467,0.8134278685576903,0.0026583957170373614
KRTDAP,KTDAP,17.16435133334477,0.0011438588815475745,-0.03644180782974215,0.8202966940412472,-0.0021276272959905402
FURIN,Furin,17.216415787855865,0.0011690836599741324,-0.08223648957132294,0.8209836296539814,-0.0047995581311301196
ANXA3,Annexin III,17.253390880170695,0.0010855751711237494,-0.0505060212222278,0.8224938685190428,-0.0029359041600488275
CD72,CD72,17.690424236531324,8.837861035801034e-4,0.10994577343589775,0.8341029560868716,0.006176600451245351
SDCBP,Syntenin 1,17.103794636251262,0.001122150996039094,0.04286919401640558,0.8380565143408001,0.002500147809554179
FANK1,FANK1,17.067638277374137,0.0011815424285537167,0.052330453227262284,0.8386458245654513,0.003056690935055463
