gene,target,full_name,beta,se,t_stat,p_value,FDR
NPDC1,NPDC1,Neural proliferation differentiation and control protein 1,0.0995512565852154,0.03161296757209896,3.1490639516259007,0.0016758819834342444,0.1468281137530572
ZNF175,ZN175,Zinc finger protein 175,0.0614651563302927,0.019476833507191395,3.1558084792170162,0.0016379066707134858,0.1468281137530572
CDH17,CAD17,Cadherin-17,-0.15581016281922005,0.04935415358505799,-3.156981763463809,0.0016313819755556,0.1468281137530572
SERPINA6,CBG,Corticosteroid-binding globulin,0.10714579146232654,0.03403416613382951,3.1481832415404782,0.0016809002779522519,0.1468281137530572
RNASE4,RNAS4,Ribonuclease 4,0.04827530249239925,0.015308268947646255,3.153544183048985,0.0016505665603582837,0.1468281137530572
PPP2R3A,"PP2A, subunit B",Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,0.09307138392904293,0.02966728055224369,3.1371727437284136,0.0017448171702788477,0.14724482526810817
POR,NADPH-P450 Oxidoreductase,NADPH--cytochrome P450 reductase,-0.13029578450569407,0.041521699293230664,-3.1380166689597977,0.0017398400496874708,0.14724482526810817
PTPN4,PTN4,Tyrosine-protein phosphatase non-receptor type 4,0.07075121900566225,0.022799650110018704,3.103171262026188,0.001956587791158221,0.1612464861023561
ITIH4,ITI heavy chain H4,Inter-alpha-trypsin inhibitor heavy chain H4,0.04391646409759644,0.014165225600966044,3.100301070715133,0.001975504248291569,0.1612464861023561
CLEC3B,Tetranectin,Tetranectin,-0.044338449886065896,0.014348683229609752,-3.090070996519713,0.0020443025621932572,0.16163624971255158
FBP1,F16P1,"Fructose-1,6-bisphosphatase 1",-0.15687788530816757,0.050770549614141174,-3.0899386849354142,0.002045206614157612,0.16163624971255158
GZMK,Granzyme K,Granzyme K,-0.17763401464343756,0.05772272118995324,-3.077367299765402,0.002132798026323182,0.16592502145411128
SERPINA4,Kallistatin,Kallistatin,-0.031294342274748393,0.010225191557210363,-3.060514035326896,0.002255628991400389,0.17278118074126977
PRSS27,Marapsin,Serine protease 27,-0.10249998844480507,0.033681509423817466,-3.043212439057837,0.002388448579740637,0.18018311331103987
HECW1,HECW1,E3 ubiquitin-protein ligase HECW1,0.0723413663465788,0.023854824711936125,3.0325675086759993,0.002473689886308231,0.18382838722281614
PIGR,PIGR,Polymeric immunoglobulin receptor,-0.14225785199162394,0.047181528345073706,-3.0151175042738374,0.0026194717210326606,0.19179926027972966
SRSF6,SRSF6,Serine/arginine-rich splicing factor 6,0.10028421370674044,0.03338714856799779,3.0036771035566883,0.002719271413292435,0.19485686692885534
IAPP,IAPP,Islet amyloid polypeptide,-0.09842083795070755,0.03283920907632523,-2.9970526306512686,0.0027786377891039823,0.19485686692885534
CD55,DAF,Complement decay-accelerating factor,-0.046015396339134096,0.015333762084926213,-3.0009201971621384,0.0027438355275242686,0.19485686692885534
CCL18,PARC,C-C motif chemokine 18,0.07240459145622744,0.024339071800409773,2.9748296093612097,0.0029865545901075863,0.19826740405527563
FUT5,FUT5,"Alpha-(1,3)-fucosyltransferase 5",0.12049423254768507,0.04041098935522901,2.9817194399397606,0.0029206220239871997,0.19826740405527563
MSMP,PSMP,Prostate-associated microseminoprotein,0.13766559508901147,0.046173645360496215,2.981475558496645,0.002922932967641716,0.19826740405527563
EMILIN3,EMIL3,EMILIN-3:region 1,-0.1128454976281236,0.037910500548048016,-2.97662906046578,0.0029692047364428707,0.19826740405527563
THBS3,TSP3,Thrombospondin-3,-0.07973491259441533,0.02704290927941862,-2.9484591236305584,0.0032516605013194824,0.21302654784302238
PILRA,PILRA isoform FDF03-M14,Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-M14,0.3690119109927242,0.1264126823718461,2.919105140948329,0.003571877460492921,0.21956022068881792
SFRP4,SFRP4,Secreted frizzled-related protein 4,-0.08459296522383149,0.02884360168730504,-2.932815608151442,0.0034188985292467307,0.21956022068881792
DEFB1,HBD-1,Beta-defensin 1,-0.08396721263690252,0.028695463400289747,-2.9261493869464634,0.003492517150018238,0.21956022068881792
ADH4,ADH4,Alcohol dehydrogenase 4,-0.16240547923185708,0.05547291215175655,-2.927653749050824,0.0034757786146034594,0.21956022068881792
PTK7,PTK7,Inactive tyrosine-protein kinase 7,-0.05604267856674864,0.01918309180782657,-2.921462250620289,0.003545141319520107,0.21956022068881792
SAA1,SAA,Serum amyloid A-1 protein,0.20671682525415405,0.07099751382368537,2.911606535512115,0.0036581582900154126,0.22212158690227732
