gene,target,beta,se,ci_lower,ci_upper,p_value
HPCAL1,HPCL1,0.05792179115765797,0.02825906585708297,0.002322766965251563,0.11352081535006438,0.0412190591494323
SCAND1,SCAND1,0.05423971829546564,0.016120692419592065,0.02252264836937002,0.08595678822156125,8.606653863745231e-4
SDCBP,Syntenin 1,-0.06537539008430886,0.03261027500544485,-0.12953531235910376,-0.0012154678095139398,0.04584001302713583
SULT1C2,ST1C2,-0.025919066553755123,0.025059296390094802,-0.07522262220856273,0.02338448910105248,0.301779927768505
DDIT4,DDIT4,-0.03588189260705623,0.022604037341363528,-0.08035478584933331,0.008591000635220856,0.11341655107663631
RERG,RERG,0.037939389965341457,0.02722197984432325,-0.015619192741679416,0.09149797267236233,0.16438319755849623
CLIC2,CLIC2,0.02114347710565919,0.026319547898943644,-0.03063959271580092,0.0729265469271193,0.42238168586461367
ASF1A,ASF1A,0.041781745457699165,0.025592205245936042,-0.008570295398923351,0.09213378631432168,0.1035467550878291
VAT1,VAT1,0.04396180036982228,0.016614833639057677,0.01127251962280005,0.07665108111684452,0.00855282948411611
NAE1,ULA1,0.02167443034649847,0.03398561092286594,-0.045191431867433345,0.08854029256043028,0.5240947665994702
SMS,SPSY,-0.06992553646872207,0.022044926864339925,-0.11329839345730709,-0.02655267948013705,0.0016623663114665075
ASPA,ACY2,-0.005889058269957941,0.015435345516704542,-0.03625772484731783,0.024479608307401948,0.7030650952466482
CARD18,ICBR,-0.05349711085225342,0.015799586783277406,-0.08458241325524452,-0.022411808449262327,7.984994498009475e-4
CD37,CD37,0.03224612427691034,0.03116395263959801,-0.029068193949420187,0.09356044250324087,0.3015860095781841
MAGEA6,MAGE-6,-0.03286963314104284,0.02890190293897787,-0.08973342364415489,0.02399415736206921,0.2562790439817664
CPOX,HEM6,-0.020095943242239143,0.014260096154836609,-0.04815233530801154,0.00796044882353325,0.15974348192461363
CCDC25,CCD25,0.032553098022358874,0.016919813167212836,-7.362225225053393e-4,0.06584241856722309,0.055254317964126075
SVIP,SVIP,-0.035411161470861464,0.02544246710962902,-0.08546859618922151,0.014646273247498585,0.16495474356375645
NDRG3,NDRG3,-0.009384173260795256,0.01350528248287651,-0.03595548780063981,0.0171871412790493,0.48765700200020745
LAMA2 LAMB1 LAMC1,Laminin-2,-0.10773001495032863,0.05051283649269254,-0.2071127911676237,-0.008347238733033543,0.03371526895162821
COMT,Catechol O-methyltransferase,-0.04883416607398955,0.03262032884653134,-0.11301386903639182,0.015345536888412725,0.13537601765922108
ARL4D,ARL4D,-0.04788820266758199,0.01361912094261517,-0.0746834916059097,-0.021092913729254276,5.015435716346922e-4
ARL9,ARL9,-0.023015267724309625,0.0163172309394629,-0.05511902240411586,0.009088486955496612,0.15937597548136104
RABIF,MSS4,-0.014295455356274873,0.015110490972740002,-0.044024978525984915,0.015434067813435166,0.34483773052631383
LRIG1,LRIG1,0.05887441128080235,0.021388094537773072,0.016793855906143178,0.10095496665546153,0.006251693792689228
AIF1L,AIF1L,-3.968666242143392e-4,0.027835889428731275,-0.05516330149478777,0.054369568246359086,0.9886336173296256
COL3A1,Collagen Type III,0.0539169874850504,0.02888970356924204,-0.0029228010550631164,0.11075677602516393,0.06292197759426353
CLSTN2,CSTN2,0.004484411983299528,0.020195833319903905,-0.03525039846719185,0.0442192224337909,0.8244207487456507
ENTPD2,ENTP2,-0.011828890809951672,0.009568897513418483,-0.030655463741762284,0.006997682121858943,0.2173064086926016
FABP12,FBP12,0.04323754933700768,0.019643598927865574,0.004589246610377316,0.08188585206363805,0.028449361308224643
GPR56,GPR56,-0.05485044686950377,0.02168796914825584,-0.09752099824074825,-0.012179895498259284,0.011921072567420147
TGM4,TGM4,-0.00878407162351007,0.014029887032151966,-0.03638753284414456,0.018819389597124425,0.5317017984225444
TCEAL8,TCAL8,-0.059060529004798384,0.018130686524427314,-0.09473221340493611,-0.02338884460466066,0.0012458351058245898
CMBL,CMBL,0.025858337001573972,0.015563821683047065,-0.004763103305701521,0.05647977730884947,0.0976139505268408
DNMT3L,DNM3L,0.029475337693738588,0.013575677004469724,0.0027655236462008938,0.05618515174127628,0.030658539088758912
PAF,PAF,-0.05332683328370627,0.01705848068771382,-0.0868889787997152,-0.01976468776769734,0.0019353380416211408
POLE3,DPOE3,-0.055436531058732745,0.03688865422413064,-0.1280140603021026,0.01714099818463711,0.13388431594163497
